"ID","NAME","PLURAL","SPD","HP","STA","ATK","DMG","DEF","PRO_HIT","PRO_SHOT","FOV","AUDIO","SMELL","SCORE","FLAVOR"
"_FIRST","skeleton","skeletons",100,10,99,16,4,6,0,0,4,0,0,10,"Garden variety."
"UNDEAD_RED_EYED_SKELETON","red-eyed skeleton","red-eyed skeletons",150,12,99,18,6,8,0,0,4,0,0,20,"Fast moving."
"UNDEAD_RED_SKELETON","red skeleton","red skeletons",200,14,99,20,8,10,0,0,4,0,0,40,"Very fast moving."
"UNDEAD_ZOMBIE","shambler","shamblers",50,40,99,20,10,10,0,0,5,0,40,15,"BRAINS!"
"UNDEAD_DARK_EYED_ZOMBIE","dark-eyed shamber","dark-eyed shamblers",50,60,99,24,12,14,0,0,5,0,60,30,"BRAINS!"
"UNDEAD_DARK_ZOMBIE","dark shambler","dark shamblers",50,80,99,28,14,16,0,0,5,0,80,60,"BRAINS!"
"UNDEAD_ZOMBIE_MASTER","zombie master","zombie masters",50,120,99,20,10,16,0,0,6,0,100,100,"Nice glasses."
"UNDEAD_ZOMBIE_LORD","zombie lord","zombie lords",50,180,99,24,10,16,0,0,6,0,100,200,"Lord Of Death."
"UNDEAD_ZOMBIE_PRINCE","zombie prince","zombie princes",50,240,99,28,16,16,0,0,6,0,100,400,"Prince Of Death."
"UNDEAD_MALE_ZOMBIFIED","zombified man","zombified men",66,60,99,20,10,16,0,0,5,0,80,40,"A friend of yours?"
"UNDEAD_FEMALE_ZOMBIFIED","zombified woman","zombified women",66,60,99,20,8,18,0,0,5,0,80,40,"A friend of yours?"
"UNDEAD_MALE_NEOPHYTE","male neophyte","male neophytes",100,70,99,24,14,20,0,0,5,0,80,80,"People can change."
"UNDEAD_FEMALE_NEOPHYTE","female neophyte","female neophytes",100,70,99,24,12,22,0,0,5,0,80,80,"People can change."
"UNDEAD_MALE_DISCIPLE","male disciple","male disciples",125,80,99,28,20,24,0,0,5,0,80,160,"People DO change."
"UNDEAD_FEMALE_DISCIPLE","female disciple","female disciples",125,80,99,28,18,26,0,0,5,0,80,160,"People DO change."
"UNDEAD_RAT_ZOMBIE","zombie rat","zombie rats",200,1,99,12,1,6,0,0,2,0,100,5,"Undead sewer rodent."
"MALE_CIVILIAN","man","men",100,30,60,20,10,20,0,0,10,16,0,0,"Still alive?"
"FEMALE_CIVILIAN","woman","women",100,28,60,20,8,22,0,0,10,16,0,0,"Still alive?"
"CHAR_GUARD","CHAR guard","CHAR guards",100,32,60,20,10,20,0,0,10,16,0,100,"Isn't messing around."
"ARMY_NATIONAL_GUARD","national guard","national guards",100,32,60,20,10,20,0,0,10,16,0,0,"Cleaning the mess."
"BIKER_MAN","biker","bikers",100,30,60,20,10,20,0,0,10,16,0,50,"Out for some fun."
"POLICEMAN","policeman","policemen",100,32,60,20,10,20,0,0,10,16,0,0,"To protect and to die."
"GANGSTA_MAN","gangsta","gangstas",100,30,60,20,10,20,0,0,10,16,0,60,"Taking back his turf"
"BLACKOPS_MAN","blackOp","blackOps",100,32,60,20,10,20,0,0,10,16,0,80,"Erasing."
"SEWERS_THING","Sewers Thing","Sewers Things",33,400,99,28,12,8,0,0,5,0,5,300,"A relative of The Swamp Thing?"
"JASON_MYERS","Serial Killer","Serial Killers",125,50,60,20,10,20,0,0,10,16,0,150,"Drug-induced insanity"
"FERAL_DOG","feral dog","feral dogs",200,10,90,30,10,15,0,0,8,16,100,0,"GRRRR"
